step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
35,48502,70,0.013373401266217888,0.5,0.9985358711566618
36,49592,72,0.017205124005034517,1.0,1.0
37,51178,74,0.02032554146721823,0.0,0.9974126778783958
38,52652,76,0.026336417006006984,0.5,0.998422712933754
39,54158,78,0.02145285567923992,0.5,0.9964973730297724
40,55408,80,0.013927287044402884,1.0,1.0
41,56946,82,0.01301933520899834,1.0,1.0
42,58676,84,0.012785503011810386,1.0,1.0
43,60758,86,0.011576121540401005,1.0,1.0
44,62120,88,0.013586426441120245,1.0,1.0
45,63530,90,0.011583815193171526,1.0,1.0
46,64572,92,0.013582396670938105,1.0,1.0
47,65694,94,0.011813098224226659,1.0,1.0
48,67632,96,0.00911613352466247,1.0,1.0
49,69106,98,0.010093661874706552,1.0,1.0
50,70564,100,0.007798991516363345,1.0,1.0
51,71830,102,0.01715899933637903,0.5,0.9982817869415808
52,73256,104,0.0069253770148029374,1.0,1.0
53,74698,106,0.006373366312325685,1.0,1.0
54,76332,108,0.008647594047232648,1.0,1.0
55,78126,110,0.010859026404531827,1.0,1.0
56,79792,112,0.011385510614860511,1.0,1.0
57,81522,114,0.007553333314031725,1.0,1.0
58,82676,116,0.014945037394381348,1.0,1.0
59,83846,118,0.012067451407449572,1.0,1.0
60,85160,120,0.010373099645078827,1.0,1.0
61,86394,122,0.009068455415414007,1.0,1.0
62,87564,124,0.010677164945268144,1.0,1.0
63,89006,126,0.008353460759912562,1.0,1.0
64,90448,128,0.015642700962681076,0.5,0.9985141158989599
65,92322,130,0.009658803760047902,1.0,1.0
66,93860,132,0.011711245645542686,1.0,1.0
67,94758,134,0.011012198221730204,1.0,1.0
68,96488,136,0.008851179061278323,1.0,1.0
69,97978,138,0.007859033968585288,1.0,1.0
70,98780,140,0.010444418149959198,1.0,1.0
71,99998,142,0.010149752291385022,1.0,1.0
72,101744,144,0.008423590560919963,1.0,1.0
73,102530,146,0.013427586437154299,1.0,1.0
74,104548,148,0.0071892394935339455,1.0,1.0
75,106662,150,0.011262267573366114,0.5,0.9988207547169812
76,107576,152,0.012866946400062612,1.0,1.0
77,109274,154,0.005997934456145247,1.0,1.0
78,110348,156,0.007475941094950417,1.0,1.0
79,111550,158,0.007450337729358591,1.0,1.0
80,112560,160,0.01954585175250832,0.5,0.9978308026030369
81,113650,162,0.013042126356515946,0.5,0.9978021978021978
82,115348,164,0.0070919217859805005,1.0,1.0
83,117174,166,0.006385109377433474,1.0,1.0
84,118888,168,0.006431566282392687,1.0,1.0
85,120378,170,0.005666295840270966,1.0,1.0
86,122092,172,0.007457821941632503,1.0,1.0
87,123198,174,0.007532011794510049,1.0,1.0
88,124288,176,0.014938410668523906,0.0,0.9941520467836257
89,126514,178,0.006606539781711637,0.5,0.9986893840104849
90,128292,180,0.009050119227474328,1.0,1.0
91,129078,182,0.008842319931922877,1.0,1.0
92,130968,184,0.008661391943697213,1.0,1.0
93,132506,186,0.008786374526117606,1.0,1.0
94,134092,188,0.005321644146700858,1.0,1.0
95,136222,190,0.006456644162464311,1.0,1.0
96,137392,192,0.009206562027213018,1.0,1.0
97,138594,194,0.010184133874738373,1.0,1.0
98,140532,196,0.008364075205382097,1.0,1.0
99,141654,198,0.0073666766495452275,1.0,1.0
100,142840,200,0.009751277043627389,1.0,1.0
101,143930,202,0.012406191702981224,1.0,1.0
102,144892,204,0.016025317681137533,0.5,0.9978540772532188
103,146590,206,0.008000167875465277,1.0,1.0
104,148288,208,0.007781052208494934,1.0,1.0
105,150386,210,0.008155948888223291,1.0,1.0
106,152116,212,0.014956055293272373,0.5,0.997179125528914
107,153958,214,0.00874872531755867,0.5,0.9986244841815681
108,155048,216,0.010627440001703578,1.0,1.0
109,156746,218,0.008989266151091645,1.0,1.0
110,157644,220,0.01069806058284956,1.0,1.0
111,159166,222,0.005995870295281591,1.0,1.0
112,161376,224,0.00542830458566907,1.0,1.0
113,162754,226,0.0071549931412793755,1.0,1.0
114,163892,228,0.010964435566692337,1.0,1.0
115,164678,230,0.01096938287958453,1.0,1.0
116,165576,232,0.022052938615928726,0.5,0.9975669099756691
117,166938,234,0.011696954294687959,0.5,0.9985272459499264
118,169020,236,0.00698168620419709,0.5,0.9984544049459042
119,170526,238,0.008340194331670532,1.0,1.0
120,171568,240,0.01178165075965023,1.0,1.0
121,172946,242,0.009725988759545579,1.0,1.0
122,173956,244,0.010083700778997727,1.0,1.0
123,176006,246,0.0065397458850873814,0.5,0.9983443708609272
124,177128,248,0.01305376571567591,1.0,1.0
125,178762,250,0.009588960912816974,1.0,1.0
126,180652,252,0.006651405753175502,1.0,1.0
127,181726,254,0.008629237228205345,0.5,0.9975186104218362
128,183072,256,0.007916554255927018,1.0,1.0
129,183938,258,0.012163020777115442,1.0,1.0
130,185140,260,0.00967484780700164,1.0,1.0
131,186790,262,0.010758417619538182,1.0,1.0
132,188504,264,0.005327995278778505,1.0,1.0
133,189978,266,0.008530437119336855,1.0,1.0
134,191756,268,0.008372187720460136,1.0,1.0
135,193694,270,0.00792800807169349,1.0,1.0
136,194992,272,0.009757736448981771,1.0,1.0
137,195938,274,0.011467263899386916,1.0,1.0
138,196900,276,0.010619796984075539,1.0,1.0
139,198534,278,0.0075001817885356125,1.0,1.0
140,199624,280,0.011206004439947398,1.0,1.0
141,201114,282,0.0062335126436248705,1.0,1.0
142,202220,284,0.0072519050752024375,1.0,1.0
143,202894,286,0.013855814331510608,1.0,1.0
144,204368,288,0.011683301981047872,0.5,0.998639455782313
145,206530,290,0.006001290526350243,1.0,1.0
146,207764,292,0.014179377176946898,0.0,0.9967689822294022
147,208486,294,0.014075766407057221,1.0,1.0
148,209848,296,0.010305954826136863,1.0,1.0
149,211146,298,0.008242989268992177,1.0,1.0
150,212796,300,0.008895119592961607,1.0,1.0
151,214718,302,0.007099310928437351,0.5,0.9984567901234568
152,215408,304,0.010731897567530046,1.0,1.0
153,217298,306,0.009438059556084642,0.5,0.9969135802469136
154,218484,308,0.009445362522206863,1.0,1.0
155,219942,310,0.009416920932798098,1.0,1.0
156,221864,312,0.007233090543952766,1.0,1.0
157,223370,314,0.008728530477942795,1.0,1.0
158,224668,316,0.009504029021406825,1.0,1.0
159,225758,318,0.008354985526482039,1.0,1.0
160,226976,320,0.008951045881463573,1.0,1.0
161,228434,322,0.00583187992194845,1.0,1.0
162,229204,324,0.015038648361228202,0.0,0.9940298507462687
163,230662,326,0.00932392692242199,1.0,1.0
164,231480,328,0.0057885407558601045,1.0,1.0
165,232506,330,0.012203507256884155,1.0,1.0
166,234076,332,0.00960589785276892,0.5,0.9986168741355463
167,235582,334,0.007313315237632074,1.0,1.0
168,237552,336,0.007068725698265374,1.0,1.0
169,239154,338,0.007429497591785395,1.0,1.0
170,240436,340,0.008524441367431277,1.0,1.0
171,241430,342,0.011072419360804314,1.0,1.0
172,242344,344,0.007609163445388954,1.0,1.0
173,243466,346,0.0069674976770787754,1.0,1.0
174,244476,348,0.009823262442764952,0.5,0.9978991596638656
175,246142,350,0.008438489817129309,1.0,1.0
176,247712,352,0.006223356283512938,1.0,1.0
177,249154,354,0.004917734886868305,1.0,1.0
178,251172,356,0.007877294370813753,1.0,1.0
179,252566,358,0.010742743814953278,0.5,0.9983766233766234
180,254520,360,0.006874890050126482,1.0,1.0
181,256250,362,0.007175938342562164,1.0,1.0
182,257228,364,0.009756604614157319,1.0,1.0
183,259294,366,0.0065922041082086685,1.0,1.0
184,260640,368,0.009038512473733076,1.0,1.0
185,262578,370,0.006993919910617709,1.0,1.0
186,263572,372,0.00879927844094177,1.0,1.0
187,264550,374,0.00793552751180052,1.0,1.0
188,266072,376,0.006399839442340285,1.0,1.0
189,267018,378,0.009389617050404803,1.0,1.0
190,268284,380,0.007967425126664556,1.0,1.0
191,269422,382,0.01045807056030011,1.0,1.0
192,271120,384,0.007162447107754482,1.0,1.0
193,272802,386,0.007565318473785338,1.0,1.0
194,273940,388,0.007024793121316466,1.0,1.0
195,275766,390,0.005570550112039899,1.0,1.0
196,276424,392,0.009525420711142917,1.0,1.0
197,278074,394,0.008657911133150181,1.0,1.0
198,279980,396,0.006606732132109912,1.0,1.0
199,281166,398,0.008512948757354304,1.0,1.0
200,282816,400,0.005913418080530753,1.0,1.0
201,284098,402,0.007870069776539609,1.0,1.0
202,285332,404,0.006992720088684909,1.0,1.0
203,285990,406,0.00816840236960077,1.0,1.0
204,287624,408,0.011311113186010377,0.5,0.9978991596638656
205,288826,410,0.005398633360673789,1.0,1.0
206,290044,412,0.006463769606164091,1.0,1.0
207,291486,414,0.009527218654162546,0.5,0.9984326018808778
208,292672,416,0.007750121814666641,0.5,0.9982332155477032
209,293858,418,0.007128344885796247,1.0,1.0
210,295060,420,0.01004763863579457,1.0,1.0
211,296310,422,0.009270134738190475,1.0,1.0
212,297352,424,0.008979484511541711,1.0,1.0
213,298538,426,0.012543588041956228,1.0,1.0
214,299644,428,0.00843694364307057,1.0,1.0
215,300702,430,0.01109325956586723,0.5,0.9976905311778291
216,302016,432,0.0041521900848317354,1.0,1.0
217,303666,434,0.008659539834451387,1.0,1.0
218,304964,436,0.011938346236926911,0.5,0.9980237154150198
219,306278,438,0.006969925863385952,1.0,1.0
220,307032,440,0.009035090509079052,1.0,1.0
221,307882,442,0.010085345585866483,1.0,1.0
222,308908,444,0.01226387737033576,0.5,0.9978858350951374
223,310062,446,0.006624447785540601,1.0,1.0
224,311456,448,0.009539703800976953,1.0,1.0
225,312242,450,0.016515505677287184,0.5,0.9966101694915255
226,313700,452,0.0077104488608305015,1.0,1.0
227,315958,454,0.00707180636040166,0.5,0.9990458015267175
228,316952,456,0.012709763348466265,0.5,0.9978213507625272
229,317866,458,0.008095772382322635,1.0,1.0
230,319260,460,0.01052409790678999,0.5,0.9982935153583617
231,320798,462,0.012781458135506157,0.5,0.9963963963963964
232,322096,464,0.009171848732300269,1.0,1.0
233,323266,466,0.008607781060381882,1.0,1.0
234,324468,468,0.009524660204471765,1.0,1.0
235,326070,470,0.0067817031633738865,1.0,1.0
236,327384,472,0.009526157170070958,0.5,0.9979423868312757
237,329162,474,0.007853839952446057,1.0,1.0
238,330796,476,0.005540064748684115,1.0,1.0
239,331710,478,0.006182780026055521,1.0,1.0
240,332336,480,0.006803212368059496,1.0,1.0
241,333954,482,0.007970170974622546,1.0,1.0
242,335028,484,0.011666383884565396,0.5,0.9974683544303797
243,336630,486,0.007142556142064367,1.0,1.0
244,338280,488,0.010358739674279265,1.0,1.0
245,339546,490,0.006987319795976605,1.0,1.0
246,341180,492,0.006983688268827793,1.0,1.0
247,342846,494,0.006456797639963343,0.5,0.9983050847457627
248,344352,496,0.006622160340809211,1.0,1.0
249,345426,498,0.009488298367750765,1.0,1.0
250,346996,500,0.0062360774381813085,1.0,1.0
251,348230,502,0.006663582257095149,1.0,1.0
252,349016,504,0.006296240839635276,1.0,1.0
253,351450,506,0.00683104372258692,1.0,1.0
254,353068,508,0.0065230462021119515,1.0,1.0
255,354814,510,0.006473896637511891,1.0,1.0
256,355920,512,0.009398657951855037,0.5,0.9981060606060606
257,358194,514,0.005751487909878758,0.5,0.998587570621469
258,359460,516,0.008558740810746179,1.0,1.0
259,360598,518,0.009970523329971458,1.0,1.0
260,361816,520,0.00927838675484815,1.0,1.0
261,362890,522,0.008700373553487952,1.0,1.0
262,363868,524,0.009505460281816458,1.0,1.0
263,365966,526,0.0070043577298023,1.0,1.0
264,367632,528,0.008860520557061938,1.0,1.0
265,369890,530,0.006404866072051285,1.0,1.0
266,371572,532,0.01046571483755896,1.0,1.0
267,372454,534,0.008817220703343662,1.0,1.0
268,373400,536,0.011147300879603637,1.0,1.0
269,374506,538,0.007003962292383187,1.0,1.0
270,376220,540,0.0067244886502134445,1.0,1.0
271,377598,542,0.005386950816059036,1.0,1.0
272,379488,544,0.014793216690251437,0.5,0.9988317757009346
273,380946,546,0.008351057671466502,1.0,1.0
